candidate_id,rank,score,reasoning
CAND_0042506,16,0.950543,"Good match — Search Engineer with 4.2 years of experience at Verloop.io; directly relevant skills: faiss, information retrieval, milvus, nlp (+1 more); has shipped a ranking/retrieval/recommendation system to production. Caveat: below preferred experience floor (JD asks 5–9 yrs, has 4.2 yrs)."
CAND_0036437,17,0.947340,"Relevant profile — Search Engineer with 4.8 years of experience at Rephrase.ai; directly relevant skills: elasticsearch, faiss, feature engineering, kubeflow (+1 more); has shipped a ranking/retrieval/recommendation system to production. Flag: below preferred experience floor (JD asks 5–9 yrs, has 4.8 yrs)."
CAND_0080766,18,0.941407,"Good match — Staff Machine Learning Engineer with 8.8 years of experience at Salesforce; directly relevant skills: elasticsearch, lora, milvus, mlflow (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0042029,19,0.933533,"Relevant profile — Senior Data Scientist with 6.5 years of experience at Flipkart; directly relevant skills: elasticsearch, embeddings, feature engineering, haystack (+1 more); has shipped a ranking/retrieval/recommendation system to production. Overall profile is a strong match for this founding-team AI engineering role."
CAND_0093912,20,0.930527,"Good match — Senior Data Scientist with 5.3 years of experience at Razorpay; directly relevant skills: elasticsearch, embeddings, feature engineering, haystack (+1 more); has shipped a ranking/retrieval/recommendation system to production. Overall profile is a strong match for this founding-team AI engineering role."
CAND_0079387,21,0.930383,"Relevant profile — AI Engineer with 6.9 years of experience at Microsoft; directly relevant skills: bm25, haystack, kubeflow, learning to rank (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0074735,22,0.928916,"Relevant profile — Applied ML Engineer with 5.5 years of experience at Rephrase.ai; directly relevant skills: elasticsearch, information retrieval, kubeflow, learning to rank (+1 more); has shipped a ranking/retrieval/recommendation system to production. Gap: notice period 90d may delay start."
CAND_0008425,23,0.928777,"Relevant profile — Senior NLP Engineer with 7.8 years of experience at Ola; directly relevant skills: haystack, information retrieval, learning to rank, lora (+1 more); has shipped a ranking/retrieval/recommendation system to production. Limitation: notice period 90d may delay start."
CAND_0053591,24,0.928532,"Good match — AI Engineer with 5.3 years of experience at Ola; directly relevant skills: bm25, embeddings, langchain, milvus (+1 more); has shipped a ranking/retrieval/recommendation system to production. Overall profile is a strong match for this founding-team AI engineering role."
CAND_0016659,25,0.928314,"Solid candidate — ML Engineer with 4.4 years of experience at Glance; directly relevant skills: faiss, feature engineering, information retrieval, peft (+1 more); has shipped a ranking/retrieval/recommendation system to production. Flag: below preferred experience floor (JD asks 5–9 yrs, has 4.4 yrs)."
CAND_0044855,26,0.928052,"Solid candidate — Senior Data Scientist with 6.6 years of experience at Flipkart; directly relevant skills: embeddings, information retrieval, learning to rank, nlp (+1 more); has shipped a ranking/retrieval/recommendation system to production. Overall profile is a strong match for this founding-team AI engineering role."
CAND_0076163,27,0.927859,"Good match — NLP Engineer with 6.9 years of experience at Ola; directly relevant skills: bm25, elasticsearch, langchain, mlops (+1 more); has shipped a ranking/retrieval/recommendation system to production. Overall profile is a strong match for this founding-team AI engineering role."
CAND_0069905,28,0.926465,"Good match — Applied ML Engineer with 6.6 years of experience at Sarvam AI; directly relevant skills: langchain, learning to rank, lora, mlops (+1 more); has shipped a ranking/retrieval/recommendation system to production. Gap: notice period 90d may delay start."
CAND_0068811,29,0.925454,"Solid candidate — Applied ML Engineer with 8 years of experience at Freshworks; directly relevant skills: embeddings, haystack, kubeflow, opensearch (+1 more); has shipped a ranking/retrieval/recommendation system to production. Overall profile is a strong match for this founding-team AI engineering role."
CAND_0029367,30,0.921442,"Solid candidate — Senior Data Scientist with 5.7 years of experience at Rephrase.ai; directly relevant skills: faiss, haystack, langchain, mlflow (+1 more); has shipped a ranking/retrieval/recommendation system to production. Note: notice period 90d may delay start."
CAND_0052682,31,0.918402,"Moderate fit — NLP Engineer with 6.6 years of experience at Aganitha; directly relevant skills: embeddings, faiss, python, pytorch (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0075439,32,0.916032,"Moderate fit — Machine Learning Engineer with 4.3 years of experience at Flipkart; directly relevant skills: elasticsearch, embeddings, feature engineering, information retrieval (+1 more); has shipped a ranking/retrieval/recommendation system to production. Note: below preferred experience floor (JD asks 5–9 yrs, has 4.3 yrs)."
CAND_0086022,33,0.914873,"Moderate fit — Senior Applied Scientist with 5.3 years of experience at Sarvam AI; directly relevant skills: elasticsearch, embeddings, kubeflow, langchain (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0094056,34,0.913911,"Moderate fit — NLP Engineer with 5.9 years of experience at Rephrase.ai; directly relevant skills: bm25, embeddings, feature engineering, learning to rank (+1 more); has shipped a ranking/retrieval/recommendation system to production. Limitation: notice period 120d may delay start."
CAND_0041610,35,0.913232,"Moderate fit — Recommendation Systems Engineer with 6.7 years of experience at Zoho; directly relevant skills: bm25, elasticsearch, embeddings, feature engineering (+1 more); has shipped a ranking/retrieval/recommendation system to production. Overall profile is a strong match for this founding-team AI engineering role."
CAND_0081852,36,0.910639,"Partial match — Senior Data Scientist with 5.9 years of experience at Mad Street Den; directly relevant skills: haystack, lora, milvus, mlops (+1 more); has shipped a ranking/retrieval/recommendation system to production. Overall profile is a strong match for this founding-team AI engineering role."
CAND_0055992,37,0.909144,"Partial match — AI Engineer with 16.9 years of experience at CRED; directly relevant skills: embeddings, faiss, feature engineering, information retrieval (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0039383,38,0.906414,"Worth considering — Applied ML Engineer with 7.1 years of experience at Meesho; directly relevant skills: elasticsearch, faiss, feature engineering, kubeflow (+1 more); has shipped a ranking/retrieval/recommendation system to production. Note: notice period 90d may delay start."
CAND_0074225,39,0.906331,"Moderate fit — Machine Learning Engineer with 4.3 years of experience at Unacademy; directly relevant skills: elasticsearch, haystack, milvus, python (+1 more); has shipped a ranking/retrieval/recommendation system to production. Gap: notice period 120d may delay start; below preferred experience floor (JD asks 5–9 yrs, has 4.3 yrs)."
CAND_0006567,40,0.905660,"Partial match — Senior AI Engineer with 7.9 years of experience at Meta; directly relevant skills: bm25, feature engineering, haystack, nlp (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0018549,41,0.904508,"Worth considering — Recommendation Systems Engineer with 6.8 years of experience at Uber; directly relevant skills: elasticsearch, langchain, milvus, opensearch (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0046064,42,0.904174,"Moderate fit — Senior NLP Engineer with 8.9 years of experience at Salesforce; directly relevant skills: bm25, elasticsearch, haystack, opensearch (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0013536,43,0.903890,"Partial match — Applied ML Engineer with 14.1 years of experience at Haptik; directly relevant skills: elasticsearch, embeddings, faiss, milvus (+1 more); has shipped a ranking/retrieval/recommendation system to production. Concern: notice period 90d may delay start."
CAND_0075574,44,0.902987,"Worth considering — Machine Learning Engineer with 5.7 years of experience at Haptik; directly relevant skills: bm25, elasticsearch, opensearch, pytorch (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0068351,45,0.900753,"Partial match — Lead AI Engineer with 6.4 years of experience at Sarvam AI; directly relevant skills: elasticsearch, feature engineering, haystack, lora (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0007412,46,0.894746,"Worth considering — Applied ML Engineer with 7.4 years of experience at Zoho; directly relevant skills: bm25, kubeflow, milvus, pinecone (+1 more); has shipped a ranking/retrieval/recommendation system to production. Flag: notice period 120d may delay start."
CAND_0083852,47,0.893981,"Partial match — Data Scientist with 6 years of experience at Mad Street Den; directly relevant skills: feature engineering, information retrieval, kubeflow, mlflow (+1 more); has shipped a ranking/retrieval/recommendation system to production. Flag: notice period 90d may delay start."
CAND_0015578,48,0.893323,"Moderate fit — AI Engineer with 5.4 years of experience at Zoho; directly relevant skills: bm25, embeddings, faiss, mlflow (+1 more); has shipped a ranking/retrieval/recommendation system to production. Gap: notice period 90d may delay start."
CAND_0065195,49,0.893232,"Moderate fit — Search Engineer with 5.1 years of experience at CRED; directly relevant skills: elasticsearch, learning to rank, mlops, qdrant (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0027801,50,0.893210,"Moderate fit — NLP Engineer with 7.4 years of experience at InMobi; directly relevant skills: faiss, learning to rank, milvus, mlops (+1 more); has shipped a ranking/retrieval/recommendation system to production. Gap: notice period 120d may delay start."
CAND_0009837,51,0.892752,"Moderate fit — Senior Data Scientist with 4.3 years of experience at Rephrase.ai; directly relevant skills: faiss, haystack, langchain, learning to rank (+1 more); has shipped a ranking/retrieval/recommendation system to production. Note: below preferred experience floor (JD asks 5–9 yrs, has 4.3 yrs)."
CAND_0045250,52,0.891241,"Moderate fit — Applied ML Engineer with 6.6 years of experience at Rephrase.ai; directly relevant skills: bm25, embeddings, langchain, lora (+1 more); has shipped a ranking/retrieval/recommendation system to production. Overall profile is a strong match for this founding-team AI engineering role."
CAND_0081686,53,0.890316,"Moderate fit — Search Engineer with 6 years of experience at Netflix; directly relevant skills: embeddings, faiss, feature engineering, kubeflow (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0061265,54,0.889531,"Moderate fit — Recommendation Systems Engineer with 6.6 years of experience at Zoho; directly relevant skills: embeddings, langchain, learning to rank, milvus (+1 more); has shipped a ranking/retrieval/recommendation system to production. Limitation: notice period 120d may delay start."
CAND_0096172,55,0.889414,"Partial match — NLP Engineer with 5.2 years of experience at Krutrim; directly relevant skills: elasticsearch, haystack, langchain, opensearch (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0020877,56,0.887377,"Partial match — Applied ML Engineer with 5.1 years of experience at CRED; directly relevant skills: elasticsearch, information retrieval, kubeflow, milvus (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0017178,57,0.887223,"Worth considering — ML Engineer with 4.2 years of experience at Swiggy; directly relevant skills: bm25, haystack, information retrieval, mlops (+1 more); has shipped a ranking/retrieval/recommendation system to production. Note: below preferred experience floor (JD asks 5–9 yrs, has 4.2 yrs)."
CAND_0024147,58,0.885923,"Moderate fit — ML Engineer with 5.9 years of experience at Ola; directly relevant skills: feature engineering, kubeflow, learning to rank, opensearch (+1 more); has shipped a ranking/retrieval/recommendation system to production. Overall profile is a strong match for this founding-team AI engineering role."
CAND_0012957,59,0.883935,"Partial match — Search Engineer with 4.9 years of experience at Razorpay; directly relevant skills: bm25, embeddings, langchain, peft (+1 more); has shipped a ranking/retrieval/recommendation system to production. Note: notice period 120d may delay start; below preferred experience floor (JD asks 5–9 yrs, has 4.9 yrs)."
CAND_0080534,60,0.883214,"Moderate fit — ML Engineer with 3.8 years of experience at Genpact AI; directly relevant skills: elasticsearch, feature engineering, haystack, kubeflow (+1 more); has shipped a ranking/retrieval/recommendation system to production. Gap: below preferred experience floor (JD asks 5–9 yrs, has 3.8 yrs)."
CAND_0043228,61,0.882894,"Adjacent skills only — Applied ML Engineer with 6.8 years of experience at Zoho; directly relevant skills: haystack, kubeflow, learning to rank, nlp (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0065786,62,0.882444,"Below ideal threshold — AI Specialist with 4.9 years of experience at Swiggy; directly relevant skills: kubeflow, learning to rank, lora, pinecone (+1 more); has shipped a ranking/retrieval/recommendation system to production. Gap: below preferred experience floor (JD asks 5–9 yrs, has 4.9 yrs)."
CAND_0027691,63,0.882173,"Below ideal threshold — NLP Engineer with 6.5 years of experience at Haptik; directly relevant skills: embeddings, learning to rank, lora, mlflow (+1 more); has shipped a ranking/retrieval/recommendation system to production. Overall profile is a strong match for this founding-team AI engineering role."
CAND_0091534,64,0.881758,"Limited fit — AI Engineer with 16.6 years of experience at Flipkart; directly relevant skills: kubeflow, langchain, qdrant, rag (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0070398,65,0.880906,"Below ideal threshold — Machine Learning Engineer with 7.2 years of experience at Genpact AI; directly relevant skills: bm25, embeddings, faiss, information retrieval (+1 more); has shipped a ranking/retrieval/recommendation system to production. Gap: notice period 120d may delay start."
CAND_0037566,66,0.879651,"Limited fit — Machine Learning Engineer with 6.9 years of experience at LinkedIn; directly relevant skills: bm25, elasticsearch, feature engineering, langchain (+1 more); has shipped a ranking/retrieval/recommendation system to production. Overall profile is a strong match for this founding-team AI engineering role."
CAND_0024620,67,0.879569,"Below ideal threshold — AI Engineer with 5.9 years of experience at PharmEasy; directly relevant skills: bm25, elasticsearch, feature engineering, haystack (+1 more); has shipped a ranking/retrieval/recommendation system to production. Overall profile is a strong match for this founding-team AI engineering role."
CAND_0005649,68,0.876700,"Below ideal threshold — Senior Data Scientist with 7.4 years of experience at Sarvam AI; directly relevant skills: haystack, information retrieval, kubeflow, qlora (+1 more); has shipped a ranking/retrieval/recommendation system to production. Caveat: notice period 90d may delay start."
CAND_0050454,69,0.876397,"Limited fit — AI Engineer with 6.8 years of experience at Rephrase.ai; directly relevant skills: bm25, faiss, feature engineering, kubeflow (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0030031,70,0.875721,"Adjacent skills only — AI Engineer with 5.7 years of experience at Microsoft; directly relevant skills: bm25, information retrieval, lora, milvus (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0005538,71,0.875226,"Adjacent skills only — Senior AI Engineer with 5.9 years of experience at Adobe; directly relevant skills: feature engineering, haystack, lora, python (+1 more); has shipped a ranking/retrieval/recommendation system to production. Note: notice period 90d may delay start."
CAND_0070202,72,0.875045,"Below ideal threshold — Machine Learning Engineer with 5.1 years of experience at BYJU'S; directly relevant skills: bm25, embeddings, learning to rank, lora (+1 more); has shipped a ranking/retrieval/recommendation system to production. Gap: notice period 90d may delay start."
CAND_0064270,73,0.874505,"Below ideal threshold — Applied ML Engineer with 4.2 years of experience at Verloop.io; directly relevant skills: bm25, elasticsearch, embeddings, haystack (+1 more); has shipped a ranking/retrieval/recommendation system to production. Caveat: below preferred experience floor (JD asks 5–9 yrs, has 4.2 yrs)."
CAND_0051004,74,0.873903,"Below ideal threshold — Senior Data Scientist with 4.7 years of experience at CRED; directly relevant skills: embeddings, haystack, lora, mlflow (+1 more); has shipped a ranking/retrieval/recommendation system to production. Note: below preferred experience floor (JD asks 5–9 yrs, has 4.7 yrs)."
CAND_0014440,75,0.872792,"Limited fit — Recommendation Systems Engineer with 6.4 years of experience at CRED; directly relevant skills: elasticsearch, faiss, feature engineering, milvus (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0037980,76,0.872218,"Limited fit — Senior Applied Scientist with 9 years of experience at Niramai; directly relevant skills: bm25, feature engineering, haystack, lora (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0055905,77,0.871243,"Limited fit — Senior Machine Learning Engineer with 8.1 years of experience at Flipkart; directly relevant skills: elasticsearch, embeddings, haystack, information retrieval (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0005260,78,0.871074,"Adjacent skills only — Senior NLP Engineer with 5.2 years of experience at Netflix; directly relevant skills: embeddings, haystack, information retrieval, kubeflow (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0071974,79,0.871048,"Adjacent skills only — Senior AI Engineer with 7.8 years of experience at Netflix; directly relevant skills: bm25, elasticsearch, embeddings, information retrieval (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0020991,80,0.870837,"Adjacent skills only — Junior ML Engineer with 4.9 years of experience at PhonePe; directly relevant skills: lora, opensearch, python, qlora (+1 more); has shipped a ranking/retrieval/recommendation system to production. Concern: notice period 120d may delay start; below preferred experience floor (JD asks 5–9 yrs, has 4.9 yrs)."
CAND_0004402,81,0.870296,"Limited fit — AI Research Engineer with 6 years of experience at Yellow.ai; directly relevant skills: kubeflow, learning to rank, opensearch, peft (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0086151,82,0.869901,"Below ideal threshold — Recommendation Systems Engineer with 7.7 years of experience at Wysa; directly relevant skills: bm25, elasticsearch, embeddings, feature engineering (+1 more); has shipped a ranking/retrieval/recommendation system to production. Gap: notice period 120d may delay start."
CAND_0015528,83,0.869811,"Adjacent skills only — Applied ML Engineer with 7.4 years of experience at Krutrim; directly relevant skills: faiss, feature engineering, information retrieval, langchain (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0044883,84,0.868777,"Limited fit — AI Engineer with 6.3 years of experience at Mad Street Den; directly relevant skills: bm25, embeddings, pytorch, qlora (+1 more); has shipped a ranking/retrieval/recommendation system to production. Gap: notice period 90d may delay start."
CAND_0068932,85,0.867234,"Adjacent skills only — ML Engineer with 5.2 years of experience at Krutrim; directly relevant skills: milvus, mlops, opensearch, rag (+1 more); has shipped a ranking/retrieval/recommendation system to production. Overall profile is a strong match for this founding-team AI engineering role."
CAND_0096142,86,0.866235,"Adjacent skills only — Applied ML Engineer with 5 years of experience at upGrad; directly relevant skills: bm25, kubeflow, lora, nlp (+1 more); has shipped a ranking/retrieval/recommendation system to production. Gap: notice period 120d may delay start."
CAND_0021491,87,0.865368,"Adjacent skills only — AI Research Engineer with 6.1 years of experience at Wysa; directly relevant skills: elasticsearch, lora, mlops, peft (+1 more); has shipped a ranking/retrieval/recommendation system to production. Caveat: notice period 90d may delay start."
CAND_0051630,88,0.864004,"Adjacent skills only — Machine Learning Engineer with 6 years of experience at Razorpay; directly relevant skills: elasticsearch, embeddings, information retrieval, lora (+1 more); has shipped a ranking/retrieval/recommendation system to production. Caveat: notice period 90d may delay start."
CAND_0064904,89,0.863995,"Limited fit — AI Engineer with 4.9 years of experience at LinkedIn; directly relevant skills: elasticsearch, embeddings, mlops, opensearch (+1 more); has shipped a ranking/retrieval/recommendation system to production. Gap: notice period 90d may delay start; below preferred experience floor (JD asks 5–9 yrs, has 4.9 yrs)."
CAND_0054318,90,0.862995,"Below ideal threshold — AI Research Engineer with 3.5 years of experience at BYJU'S; directly relevant skills: faiss, information retrieval, lora, mlflow (+1 more); has shipped a ranking/retrieval/recommendation system to production. Flag: below preferred experience floor (JD asks 5–9 yrs, has 3.5 yrs)."
CAND_0007596,91,0.859025,"Adjacent skills only — Junior ML Engineer with 4.4 years of experience at Flipkart; directly relevant skills: feature engineering, lora, python, scikit-learn (+1 more); has shipped a ranking/retrieval/recommendation system to production. Gap: below preferred experience floor (JD asks 5–9 yrs, has 4.4 yrs)."
CAND_0098846,92,0.858923,"Below ideal threshold — AI Engineer with 7.6 years of experience at upGrad; directly relevant skills: haystack, kubeflow, mlops, peft (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0010603,93,0.858810,"Adjacent skills only — ML Engineer with 5.3 years of experience at BYJU'S; directly relevant skills: information retrieval, mlops, opensearch, peft; has shipped a ranking/retrieval/recommendation system to production. Flag: notice period 90d may delay start."
CAND_0083307,94,0.858579,"Adjacent skills only — Search Engineer with 7.8 years of experience at CRED; directly relevant skills: embeddings, learning to rank, mlflow, peft (+1 more); has shipped a ranking/retrieval/recommendation system to production. Note: notice period 120d may delay start."
CAND_0091909,95,0.858085,"Limited fit — Machine Learning Engineer with 6.9 years of experience at Rephrase.ai; directly relevant skills: langchain, learning to rank, mlflow, opensearch (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
CAND_0018722,96,0.857710,"Limited fit — Recommendation Systems Engineer with 6.6 years of experience at Saarthi.ai; directly relevant skills: peft, python, recommendation systems, scikit-learn (+1 more); has shipped a ranking/retrieval/recommendation system to production. Flag: notice period 90d may delay start."
CAND_0036520,97,0.857591,"Adjacent skills only — Data Scientist with 4.2 years of experience at Glance; directly relevant skills: bm25, embeddings, feature engineering, mlflow (+1 more); has shipped a ranking/retrieval/recommendation system to production. Concern: below preferred experience floor (JD asks 5–9 yrs, has 4.2 yrs)."
CAND_0039754,98,0.855650,"Limited fit — Senior Applied Scientist with 16.2 years of experience at Meta; directly relevant skills: bm25, elasticsearch, kubeflow, nlp (+1 more); has shipped a ranking/retrieval/recommendation system to production. Concern: over-experienced for IC role without clear ML track."
CAND_0081053,99,0.855547,"Limited fit — NLP Engineer with 5.4 years of experience at Glance; directly relevant skills: haystack, learning to rank, lora, opensearch (+1 more); has shipped a ranking/retrieval/recommendation system to production. Gap: notice period 90d may delay start."
CAND_0032515,100,0.854596,"Limited fit — Machine Learning Engineer with 5.1 years of experience at PharmEasy; directly relevant skills: elasticsearch, milvus, mlflow, nlp (+1 more); has shipped a ranking/retrieval/recommendation system to production. Tier-1 institution background adds confidence in technical depth."
